Number,Name,Latitude,Longitude,District,Public,Total docks,trip start count,trip end count
C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,275,213
M32048,Third at Binney,42.365444861373994,-71.0827714204788,Cambridge,Yes,15,625,614
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,454,524
B32056,Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,Boston,Yes,19,690,616
C32056,Tremont St at Northampton St,42.33889559644165,-71.08149975611012,Boston,Yes,19,362,360
C32060,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,Boston,Yes,15,273,260
D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,623,629
C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,14,262,271
A32001,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,Boston,Yes,19,368,375
S32002,Union Square - Somerville,42.37965809715277,-71.09394280244487,Somerville,Yes,19,570,596
M32040,University Park,42.36264779118595,-71.1000609397888,Cambridge,Yes,19,909,819
M32057,Vassal Lane at Tobin/VLUS,42.3839322489048,-71.13961271959852,Cambridge,Yes,19,77,81
M32050,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,Cambridge,Yes,19,429,425
C32029,W Broadway at D St,42.3391085,-71.05144320000001,Boston,Yes,23,502,532
C32016,W Broadway at Dorchester St,42.335958979433094,-71.04622899561036,Boston,Yes,17,448,357
D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,731,662
D32029,Washington St at Brock St,42.348952846695106,-71.16031676530837,Boston,Yes,15,36,37
C32005,Washington St at Lenox St,42.3350989929096,-71.07903778553009,Boston,Yes,15,240,246
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,15,90,99
S32021,Washington St at Myrtle St,42.38169983163681,-71.08377588917392,Somerville,Yes,15,24,25
C32006,Washington St at Rutland St,42.338514601785995,-71.07404083013535,Boston,Yes,23,1060,1095
C32038,Washington St at Talbot Ave,42.290333000000004,-71.07180600000001,Boston,Yes,17,8,12
D32002,Washington St at Waltham St,42.3415598497246,-71.06886953115462,Boston,Yes,15,565,550
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,Boston,Yes,15,587,641
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,Boston,Yes,14,324,339
D32022,West End Park,42.36590788445085,-71.06446668505669,Boston,Yes,35,378,290
D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,19,92,99
S32005,Wilson Square,42.385582,-71.113341,Somerville,Yes,15,22,24
